,ARA,DEU,FRA,HIN,ITA,JPN,KOR,SPA,TEL,TUR,ZHO,Total
ARA,31,0,7,0,2,2,5,2,4,4,3,60
DEU,0,12,7,3,2,3,2,6,0,3,3,41
FRA,3,1,27,1,4,2,4,3,0,2,4,51
HIN,3,0,4,3,0,0,1,3,10,3,3,30
ITA,0,3,8,1,23,3,1,7,0,3,5,54
JPN,1,0,2,0,0,30,19,0,0,3,7,62
KOR,3,1,1,1,0,13,34,1,2,2,3,61
SPA,10,0,8,0,2,6,10,15,0,7,3,61
TEL,10,0,3,6,0,2,5,2,26,5,5,64
TUR,3,1,2,0,1,4,7,0,2,28,7,55
ZHO,3,0,4,2,1,3,9,2,0,5,36,65
Total,67,18,73,17,35,68,97,41,44,65,79,604
Precision,0.462686567,0.666666667,0.369863014,0.176470588,0.657142857,0.441176471,0.350515464,0.365853659,0.590909091,0.430769231,0.455696203,
Recall,0.516666667,0.292682927,0.529411765,0.1,0.425925926,0.483870968,0.557377049,0.245901639,0.40625,0.509090909,0.553846154,
F1,0.488188976,0.406779661,0.435483871,0.127659574,0.516853933,0.461538462,0.430379747,0.294117647,0.481481481,0.466666667,0.5,
