iteration,trainAcc,devAcc
0,0.42620201267238167,0.38461538461538464
1,0.5245993291092061,0.459866220735786
2,0.5609392471114424,0.47157190635451507
3,0.565598210957883,0.4782608695652174
4,0.5732389116660455,0.479933110367893
5,0.5974655236675364,0.5050167224080268
6,0.5937383525903839,0.5016722408026756
7,0.5942974282519567,0.4866220735785953
8,0.593179276928811,0.49331103678929766
9,0.5872158032053671,0.49331103678929766
10,0.5963473723443906,0.49665551839464883
11,0.5978382407752516,0.5016722408026756
12,0.5980245993291092,0.49498327759197325
13,0.6036153559448378,0.5066889632107023
14,0.6010063361908312,0.49498327759197325
15,0.6019381289601192,0.5
16,0.6039880730525531,0.5
17,0.6058516585911293,0.4983277591973244
18,0.606038017144987,0.5016722408026756
19,0.6054789414834141,0.5033444816053512
20,0.6073425270219903,0.5016722408026756
21,0.6049198658218412,0.49665551839464883
22,0.6082743197912784,0.5033444816053512
23,0.609951546775997,0.5033444816053512
24,0.6082743197912784,0.5066889632107023
25,0.6095788296682818,0.5066889632107023
26,0.6097651882221394,0.5033444816053512
27,0.6103242638837123,0.5083612040133779
28,0.6079016026835632,0.5066889632107023
29,0.6106969809914276,0.5083612040133779
